일련번호(no),카테고리1(cate1),카테고리2(cate2),카테고리3(cate3),주차장고유값(pl_id),시설 주차장명(pl_nm),건물명(build_poi_nm),법정동코드(bemd_code),시도명칭(sido_nm),시군구명칭(sgg_nm),법정읍면동명칭(bemd_nm),번지(beonji),호(ho),새주소-도로명(road_nm),새주소-건물번호(bld_num),일반인이용(pl_open_public),유무료(pl_fee),일반-기본단위시간(pl_basic_rate_min),일반-기본단위금액(pl_basic_rate_amt),일반-추가단위시간(pl_addi_rate_min),일반-추가단위금액(pl_addi_rate_amt),일반-1일(전일)(pl_allday_pass_amt),일반-1월(정기권)(pl_month_pass_amt),주차요금 지불방식(pl_payment_option),평일시작시간(pl_weekday_start_time),평일종료시간(pl_weekday_end_time),토요일시작시간(pl_sat_start_time),토요일종료시간(pl_sat_end_time),공휴일시작시간(pl_holiday_start_time),공휴일종료시간(pl_holiday_end_time),건축물층수-지하(pl_num_floor_underground),건축물층수-지상(pl_num_floor_aboveground),법정주차면수(pl_num_space_by_law),계획주차면수(pl_num_space_planned),전용주차구획-장애인(pl_num_disabled_private),전용주차구획-경차(pl_num_compact_private),전용주차구획-기타(pl_num_other_private),전용주차구획-여성우선(pl_num_women_only),할인정책-장애인(pl_discount_disabled),할인정책-경차(pl_discount_compact),할인정책-다자녀가정(두자녀)(pl_discount_2children),할인정책-다자녀가정(세자녀)(pl_discount_3children),할인정책-국가유공자(pl_discount_person_merit),할인정책-10부제참여차량(pl_discount_ten_part_system),할인정책-요일제차량(pl_discount_weekdayly),할인정책-기타할인율(pl_discount_other_percent),할인정책-기타대상(pl_discount_other_target),전용주차구획-전기차(pl_num_elctronic_only),전용주차구획-나눔카(pl_num_shared_car),충전소-실내외(space_type),충전소 설치 층수(install_floor),이용가능시간(available_time),충전기 상태(charger_state),충전기타입(charger_type),충전기 용량(charger_capacity),충전기 개수(charger_ea),서비스 운영사 기본요금(operation_basic_fee),관리업체명(manager_nm),관리업체전화번호(manager_tel),제조회사(manufacturer),충전기 캐노피(가림막 지붕) 설치 여부(charger_canopy_yn),점유과태료 안내여부(penalty_yn),재생 에너지 활용 여부(renewable_energy_yn),큐알코드결제 가능 여부 (EX_모두페이)(qrcode_yn),특이사항(speific),경도(logitude),위도(latitude),최종작성일(enter_date)
22,문화관광/명소,여행안내/예약,항공사/여행사,5067249,온누리여행사 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,충전대기,DC콤보7핀,급속 50kW,1,324.4원,켑코플러그,1899-2100,시그넷시스템,있음,있음,없음,가능,,127.095862,37.535675,2022-11-25
23,문화관광/명소,여행안내/예약,항공사/여행사,5067249,일성티엔씨 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,충전대기,DC콤보7핀,급속 50kW,1,324.4원,켑코플러그,1899-2100,시그넷시스템,있음,있음,없음,가능,,127.095862,37.535675,2022-11-25
24,문화관광/명소,여행안내/예약,항공사/여행사,5067249,인포랑 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,점검중,,,,,,,,정보없음,정보없음,정보없음,정보없음,"설치완료되었으나 현재 미개방, 12월 중순 오픈예정",127.095862,37.535675,2022-11-25
25,레저/체육/공원,지역레저시설,실내골프/스크린골프,5067249,티엠스크린골프 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,점검중,,,,,,,,정보없음,정보없음,정보없음,정보없음,"설치완료되었으나 현재 미개방, 12월 중순 오픈예정",127.095862,37.535675,2022-11-25
26,레저/체육/공원,지역체육시설,헬스/휘트니스,5067249,비스코토탈휘트니스 주차장,테크노-마트21,10300,서울특별시,광진구,구의동,546,4,광나루로56길,085-00,미개방,유료,30,0,30,2000,0,0,"현금, 카드",05:00,03:00,00:00,00:00,00:00,00:00,6,39,2184,2184,71,0,0,0,0,0,0,0,0,0,0,0,0,7,0,실내,B4,00:00-24:00,점검중,,,,,,,,정보없음,정보없음,정보없음,정보없음,"설치완료되었으나 현재 미개방, 12월 중순 오픈예정",127.095862,37.535675,2022-11-25
27,문화관광/명소,여행안내/예약,항공사/여행사,5021521,명보투어앤에듀 주차장,구의아크로리버,10300,서울특별시,광진구,구의동,589,10,구의강변로,064-00,미개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,5,37,549,549,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,실내,"B1,B5",00:00-24:00,충전대기,AC단상5핀+AC3상7핀,완속 7kW,5,286.7원,해피차저,1522-1782,한국알박,있음,정보없음,없음,불가,,127.092834,37.536061,2022-11-25
28,문화관광/명소,여행안내/예약,항공사/여행사,5021521,명보국제항공 주차장,구의아크로리버,10300,서울특별시,광진구,구의동,589,10,구의강변로,064-00,미개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,5,37,549,549,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,실내및실외,"1,B5",00:00-24:00,충전대기,AC단상5핀,완속 7kW,5,209.2원,에버온,1661-7766,에버온,있음,정보없음,없음,가능,,127.092834,37.536061,2022-11-25
29,레저/체육/공원,지역레저시설,실내골프/스크린골프,5021521,오클브라더스 주차장,구의아크로리버,10300,서울특별시,광진구,구의동,589,10,구의강변로,064-00,미개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,5,37,549,549,12,0,0,0,0,0,0,0,0,0,0,0,0,6,0,실내및실외,"1,B5",00:00-24:00,충전대기,AC단상5핀,완속 7kW,1,209.2원,에버온,1661-7766,에버온,있음,정보없음,없음,가능,,127.092834,37.536061,2022-11-25
30,레저/체육/공원,지역체육시설,스포츠센터,5022661,현대프라임스포츠센터 주차장,구의현대2단지아파트,10300,서울특별시,광진구,구의동,611,0,광나루로56길,032-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,1,20,1391,1391,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,실내,"B1,B2",00:00-24:00,충전대기,220V,완속 3.5kW,20,173.8원,홈앤차지,16700-119,스타코프,있음,정보없음,없음,가능,,127.095856,37.538705,2022-11-25
31,레저/체육/공원,지역체육시설,헬스/휘트니스,5022661,플레이짐 주차장,구의현대2단지아파트,10300,서울특별시,광진구,구의동,611,0,광나루로56길,032-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,1,20,1391,1391,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,실내,"B1,B2",00:00-24:00,충전대기,220V,완속 3.5kW,10,173.8원,홈앤차지,16700-119,스타코프,있음,정보없음,없음,가능,,127.095856,37.538705,2022-11-25
32,레저/체육/공원,지역체육시설,헬스/휘트니스,5022661,퍼스트핏 주차장,구의현대2단지아파트,10300,서울특별시,광진구,구의동,611,0,광나루로56길,032-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,1,20,1391,1391,40,0,0,0,0,0,0,0,0,0,0,0,0,40,0,실내,"B1,B2",00:00-24:00,충전대기,220V,완속 3.5kW,10,173.8원,홈앤차지,16700-119,스타코프,있음,정보없음,없음,가능,,127.095856,37.538705,2022-11-25
33,문화관광/명소,여행안내/예약,항공사/여행사,5023116,제주투어몰 주차장,강변에스케이뷰,10300,서울특별시,광진구,구의동,667,0,아차산로,431-00,일반인 개방,유료,30,2000,30,2000,20000,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,3,29,382,234,12,0,0,36,0,0,0,0,0,0,0,0,0,5,0,실내,"B2,B3",00:00-24:00,충전대기,AC단상5핀,완속 7kW,5,259원,차지비,1600-4047,중앙제어,있음,정보없음,없음,가능,,127.090127,37.538627,2022-11-25
34,문화관광/명소,여행안내/예약,항공사/여행사,5026035,구름 주차장,광진두산위브파크,10900,서울특별시,광진구,군자동,503,0,광나루로,369-00,일반인 개방,유료,30,2000,10,1000,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,5,20,288,288,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,실내,B5,00:00-24:00,충전대기,AC단상5핀,완속 7kW,3,209.2원,에버온,1833-7448/1661-7766,한국알박,있음,없음,없음,가능,,127.071121,37.548421,2022-11-25
35,레저/체육/공원,공원,어린이놀이터,5026550,블럭버스 주차장,더샵스타시티,10500,서울특별시,광진구,자양동,227,7,아차산로,262-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,0,1,3869,3862,78,0,0,0,0,0,0,0,0,0,0,0,0,5,0,실내,B3,00:00-24:00,충전대기,"AC단상5핀 4, DC콤보 1",완속 7kW,5,77.8원,한국전력,1899-2100,클린일렉스,있음,정보없음,없음,가능,,127.072545,37.537808,2022-11-25
36,레저/체육/공원,온천/사우나,온천장,5023768,우리유황온천 주차장,와이엠프라젠스파,10500,서울특별시,광진구,자양동,663,21,자양로5길,033-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,0,11,201,201,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,실내,B3,00:00-24:00,충전대기,AC단상5핀,완속 7kW,2,209.2원,에버온,1661-7766,에버온,있음,정보없음,정보없음,불가,,127.084186,37.530896,2022-11-25
37,레저/체육/공원,지역레저시설,실내골프/스크린골프,5023768,웰플러스골프파크 주차장,와이엠프라젠스파,10500,서울특별시,광진구,자양동,663,21,자양로5길,033-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,0,11,201,201,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,실내,B3,00:00-24:00,충전대기,AC단상5핀,완속 7kW,2,209.2원,에버온,1661-7766,에버온,있음,정보없음,정보없음,불가,,127.084186,37.530896,2022-11-25
38,레저/체육/공원,지역레저시설,실내골프/스크린골프,5023587,우정스크린골프 주차장,구의현대홈씨티아파트,10500,서울특별시,광진구,자양동,779,8,자양로,109-00,일반인 개방,유료,30,2000,10,500,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,6,20,166,166,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,실내,B6,00:00-24:00,충전대기,AC단상5핀,완속 7kW,1,209.2원,한국알박,1833-7448,한국알박,없음,정보없음,정보없음,가능,,127.083091,37.537441,2022-11-25
39,레저/체육/공원,지역체육시설,헬스/휘트니스,5023587,골프베이휘트니스 주차장,구의현대홈씨티아파트,10500,서울특별시,광진구,자양동,779,8,자양로,109-00,일반인 개방,유료,30,2000,10,500,0,0,카드,00:00,00:00,00:00,00:00,00:00,00:00,6,20,166,166,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,실내,B6,00:00-24:00,충전대기,AC단상5핀,완속 7kW,1,209.2원,한국알박,1833-7448,한국알박,없음,정보없음,정보없음,가능,,127.083091,37.537441,2022-11-25
40,레저/체육/공원,지역체육시설,헬스/휘트니스,5020434,턴온필라테스 주차장,광진트라팰리스,10500,서울특별시,광진구,자양동,854,0,뚝섬로34길,067-00,일반인 개방,무료,0,0,0,0,0,0,없음,00:00,00:00,00:00,00:00,00:00,00:00,3,29,452,452,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,실내,"B2,B3",00:00-24:00,충전대기,AC단상5핀,완속 7kW,5,137.36원,케빗,1877-6546,한국알박,있음,정보없음,정보없음,가능,,127.067989,37.531836,2022-11-25
